chemin,class,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/IntervalCategoryToolTipGeneratorTest.java,IntervalCategoryToolTipGeneratorTest.java,131,56,0.4274809,6,0.07124682
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/ItemLabelAnchorTest.java,ItemLabelAnchorTest.java,61,44,0.72131145,2,0.36065573
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/IntervalCategoryItemLabelGeneratorTest.java,IntervalCategoryItemLabelGeneratorTest.java,117,53,0.45299146,5,0.09059829
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardPieToolTipGeneratorTest.java,StandardPieToolTipGeneratorTest.java,128,53,0.4140625,5,0.0828125
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardXYItemLabelGeneratorTest.java,StandardXYItemLabelGeneratorTest.java,160,57,0.35625,5,0.07125
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/BoxAndWhiskerToolTipGeneratorTest.java,BoxAndWhiskerToolTipGeneratorTest.java,111,56,0.5045045,5,0.1009009
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/SymbolicXYItemLabelGeneratorTest.java,SymbolicXYItemLabelGeneratorTest.java,96,53,0.5520833,5,0.110416666
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/BubbleXYItemLabelGeneratorTest.java,BubbleXYItemLabelGeneratorTest.java,166,59,0.3554217,6,0.059236947
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardCategoryItemLabelGeneratorTest.java,StandardCategoryItemLabelGeneratorTest.java,157,60,0.3821656,7,0.054595087
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/CustomXYItemLabelGeneratorTest.java,CustomXYItemLabelGeneratorTest.java,87,48,0.55172414,3,0.18390805
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardXYToolTipGeneratorTest.java,StandardXYToolTipGeneratorTest.java,137,54,0.3941606,5,0.07883212
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardXYSeriesLabelGeneratorTest.java,StandardXYSeriesLabelGeneratorTest.java,120,56,0.46666667,6,0.07777778
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardXYZToolTipGeneratorTest.java,StandardXYZToolTipGeneratorTest.java,154,61,0.3961039,5,0.07922078
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardFlowLabelGeneratorTest.java,StandardFlowLabelGeneratorTest.java,66,44,0.6666667,2,0.33333334
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardPieSectionLabelGeneratorTest.java,StandardPieSectionLabelGeneratorTest.java,137,53,0.38686132,5,0.07737227
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/MultipleXYSeriesLabelGeneratorTest.java,MultipleXYSeriesLabelGeneratorTest.java,113,55,0.48672566,5,0.09734513
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/ItemLabelPositionTest.java,ItemLabelPositionTest.java,67,49,0.73134327,2,0.36567163
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardCategorySeriesLabelGeneratorTest.java,StandardCategorySeriesLabelGeneratorTest.java,121,56,0.46280992,6,0.07713499
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/BoxAndWhiskerXYToolTipGeneratorTest.java,BoxAndWhiskerXYToolTipGeneratorTest.java,131,57,0.4351145,5,0.0870229
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/HighLowItemLabelGeneratorTest.java,HighLowItemLabelGeneratorTest.java,109,53,0.48623854,5,0.097247705
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/labels/StandardCategoryToolTipGeneratorTest.java,StandardCategoryToolTipGeneratorTest.java,136,56,0.4117647,6,0.068627454
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/StandardXYURLGeneratorTest.java,StandardXYURLGeneratorTest.java,64,45,0.703125,2,0.3515625
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/StandardPieURLGeneratorTest.java,StandardPieURLGeneratorTest.java,110,51,0.46363637,4,0.11590909
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/CustomXYURLGeneratorTest.java,CustomXYURLGeneratorTest.java,143,59,0.4125874,5,0.08251748
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/CustomCategoryURLGeneratorTest.java,CustomCategoryURLGeneratorTest.java,143,59,0.4125874,5,0.08251748
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/StandardCategoryURLGeneratorTest.java,StandardCategoryURLGeneratorTest.java,106,51,0.4811321,4,0.12028302
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/TimeSeriesURLGeneratorTest.java,TimeSeriesURLGeneratorTest.java,116,51,0.43965518,4,0.109913796
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/urls/CustomPieURLGeneratorTest.java,CustomPieURLGeneratorTest.java,103,55,0.5339806,4,0.13349515
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/ChartRenderingInfoTest.java,ChartRenderingInfoTest.java,117,52,0.44444445,4,0.11111111
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/TimeSeriesChartTest.java,TimeSeriesChartTest.java,153,69,0.4509804,6,0.0751634
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/FlowEntityTest.java,FlowEntityTest.java,97,49,0.5051546,3,0.16838486
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/PieSectionEntityTest.java,PieSectionEntityTest.java,112,47,0.41964287,3,0.13988096
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/XYItemEntityTest.java,XYItemEntityTest.java,104,47,0.45192307,3,0.15064102
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/CategoryLabelEntityTest.java,CategoryLabelEntityTest.java,97,47,0.48453608,3,0.16151203
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/LegendItemEntityTest.java,LegendItemEntityTest.java,100,47,0.47,3,0.15666667
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/StandardEntityCollectionTest.java,StandardEntityCollectionTest.java,100,48,0.48,3,0.16
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/CategoryItemEntityTest.java,CategoryItemEntityTest.java,111,47,0.4234234,3,0.14114113
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/entity/TickLabelEntityTest.java,TickLabelEntityTest.java,91,47,0.51648355,3,0.17216118
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYShapeAnnotationTest.java,XYShapeAnnotationTest.java,157,57,0.36305732,5,0.072611466
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYDrawableAnnotationTest.java,XYDrawableAnnotationTest.java,177,74,0.4180791,10,0.041807912
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYTitleAnnotationTest.java,XYTitleAnnotationTest.java,148,55,0.3716216,5,0.074324325
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYImageAnnotationTest.java,XYImageAnnotationTest.java,114,116,1.0175439,5,0.20350878
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYLineAnnotationTest.java,XYLineAnnotationTest.java,183,53,0.28961748,7,0.041373927
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/CategoryTextAnnotationTest.java,CategoryTextAnnotationTest.java,117,56,0.47863248,5,0.0957265
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/CategoryPointerAnnotationTest.java,CategoryPointerAnnotationTest.java,157,61,0.38853502,5,0.07770701
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYPolygonAnnotationTest.java,XYPolygonAnnotationTest.java,145,54,0.37241378,5,0.074482754
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYPointerAnnotationTest.java,XYPointerAnnotationTest.java,157,61,0.38853502,5,0.07770701
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYBoxAnnotationTest.java,XYBoxAnnotationTest.java,202,62,0.3069307,7,0.04384724
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/XYTextAnnotationTest.java,XYTextAnnotationTest.java,161,61,0.378882,5,0.0757764
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/TextAnnotationTest.java,TextAnnotationTest.java,167,69,0.41317365,5,0.08263473
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/annotations/CategoryLineAnnotationTest.java,CategoryLineAnnotationTest.java,166,59,0.3554217,6,0.059236947
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/StackedAreaChartTest.java,StackedAreaChartTest.java,161,71,0.4409938,7,0.062999114
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest.java,GanttChartTest.java,266,92,0.34586465,9,0.038429406
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title/TextTitleTest.java,TextTitleTest.java,137,56,0.40875912,4,0.10218978
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title/DateTitleTest.java,DateTitleTest.java,105,50,0.47619048,4,0.11904762
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title/ImageTitleTest.java,ImageTitleTest.java,119,118,0.99159664,6,0.16526611
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title/CompositeTitleTest.java,CompositeTitleTest.java,140,57,0.40714285,5,0.08142857
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title/TitleTest.java,TitleTest.java,84,45,0.53571427,2,0.26785713
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/title/ShortTextTitleTest.java,ShortTextTitleTest.java,90,50,0.5555556,4,0.1388889
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal/ShapeUtilsTest.java,ShapeUtilsTest.java,124,57,0.45967743,5,0.091935486
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal/LineUtilsTest.java,LineUtilsTest.java,120,42,0.35,7,0.05
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal/SerialUtilsTest.java,SerialUtilsTest.java,117,38,0.32478634,6,0.054131057
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal/HashUtilsTest.java,HashUtilsTest.java,57,41,0.71929824,1,0.71929824
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal/ArgsTest.java,ArgsTest.java,55,38,0.6909091,1,0.6909091
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/internal/CloneUtilsTest.java,CloneUtilsTest.java,81,48,0.5925926,2,0.2962963
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/MeterChartTest.java,MeterChartTest.java,69,47,0.68115944,1,0.68115944
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/XYStepChartTest.java,XYStepChartTest.java,164,76,0.46341464,6,0.07723577
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/XYAreaChartTest.java,XYAreaChartTest.java,152,69,0.45394737,6,0.0756579
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/LineChartTest.java,LineChartTest.java,163,73,0.44785276,7,0.06397896
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/WaterfallChartTest.java,WaterfallChartTest.java,125,60,0.48,5,0.096
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/BarChartTest.java,BarChartTest.java,165,72,0.43636364,7,0.062337663
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/AreaChartTest.java,AreaChartTest.java,167,71,0.4251497,7,0.060735673
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/RendererChangeDetector.java,RendererChangeDetector.java,83,64,0.7710843,3,0.2570281
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/GrayPaintScaleTest.java,GrayPaintScaleTest.java,119,55,0.46218488,5,0.09243698
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/ScatterRendererTest.java,ScatterRendererTest.java,183,68,0.3715847,11,0.03378043
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/WaterfallBarRendererTest.java,WaterfallBarRendererTest.java,172,101,0.5872093,7,0.08388704
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRendererTest.java,StatisticalLineAndShapeRendererTest.java,176,68,0.38636363,8,0.048295453
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/IntervalBarRendererTest.java,IntervalBarRendererTest.java,154,65,0.42207792,7,0.060296845
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GanttRendererTest.java,GanttRendererTest.java,120,53,0.44166666,5,0.08833333
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/MinMaxCategoryRendererTest.java,MinMaxCategoryRendererTest.java,142,60,0.4225352,6,0.07042254
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BarRendererTest.java,BarRendererTest.java,264,81,0.3068182,9,0.03409091
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LevelRendererTest.java,LevelRendererTest.java,181,74,0.4088398,8,0.051104974
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/BoxAndWhiskerRendererTest.java,BoxAndWhiskerRendererTest.java,494,107,0.2165992,22,0.009845418
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LayeredBarRendererTest.java,LayeredBarRendererTest.java,139,61,0.4388489,6,0.073141485
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StackedAreaRendererTest.java,StackedAreaRendererTest.java,124,57,0.45967743,6,0.076612905
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/AbstractCategoryItemRendererTest.java,AbstractCategoryItemRendererTest.java,295,86,0.29152542,11,0.026502311
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/LineAndShapeRendererTest.java,LineAndShapeRendererTest.java,250,73,0.292,20,0.014599999
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StackedBarRendererTest.java,StackedBarRendererTest.java,125,57,0.456,6,0.076
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/AreaRendererTest.java,AreaRendererTest.java,138,58,0.42028984,6,0.07004831
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StatisticalBarRendererTest.java,StatisticalBarRendererTest.java,258,89,0.34496123,11,0.031360112
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/StandardBarPainterTest.java,StandardBarPainterTest.java,87,51,0.5862069,4,0.14655173
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/CategoryStepRendererTest.java,CategoryStepRendererTest.java,119,57,0.4789916,5,0.09579832
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GroupedStackedBarRendererTest.java,GroupedStackedBarRendererTest.java,158,62,0.39240506,6,0.06540085
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/GradientBarPainterTest.java,GradientBarPainterTest.java,97,51,0.52577317,4,0.13144329
../TP1/Test_project/jfreechart-master/src/test/java/org/jfree/chart/renderer/category/DefaultCategoryItemRendererTest.java,DefaultCategoryItemRendererTest.java,97,53,0.5463917,5,0.10927834
