chemin,paquet,paquet_LOC,paquet_CLOC,paquet_DC,WCP,paquet_BC
../TP1/Test_project,Test_project,0,0,0.0,24271,0.0
../TP1/Test_project/jfreechart-master,jfreechart-master,0,0,0.0,24271,0.0
../TP1/Test_project/jfreechart-master/.github,.github,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/.github/workflows,workflows,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/svg,svg,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/svg/js,js,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/svg/js/src,src,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/svg/lib,lib,0,0,0.0,0,0.0
../TP1/Test_project/jfreechart-master/src,src,0,0,0.0,24271,0.0
../TP1/Test_project/jfreechart-master/src/main,main,0,0,0.0,21283,0.0
../TP1/Test_project/jfreechart-master/src/main/java,java,43,3,0.069767445,21283,3.2780833E-6
../TP1/Test_project/jfreechart-master/src/main/java/org,org,0,0,0.0,21283,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree,jfree,0,0,0.0,21283,0.0
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart,chart,6585,3281,0.4982536,16247,3.0667423E-5
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/urls,urls,1557,952,0.61143225,147,0.004159403
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/api,api,1409,835,0.5926189,108,0.005487212
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/encoders,encoders,745,525,0.70469797,36,0.019574944
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/internal,internal,2169,977,0.450438,244,0.0018460574
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/title,title,2130,1052,0.49389672,267,0.0018498005
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/axis,axis,17656,8364,0.47371998,1973,2.4010136E-4
../TP1/Test_project/jfreechart-master/src/main/java/org/jfree/chart/labels,labels,5486,3299,0.6013489,499,0.001205108
